service_id,edge_id,plan_cpu,plan_mem,plan_disk,submit_time,duration,sla
422,931,4,0.042409339,0.034085122,906,2,
423,293,4,0.042409339,0.034085122,906,1,
424,1132,8,0.084818678,0.056808536,906,4,
425,893,4,0.042409339,0.034085122,906,2,
426,890,4,0.042409339,0.034085122,906,2,
427,1204,4,0.042409339,0.034085122,906,2,
428,1160,8,0.084818678,0.056808536,911,1,
429,1180,4,0.042409339,0.034085122,911,3,
430,809,8,0.084818678,0.085212805,911,3,
431,3,4,0.042409339,0.034085122,911,3.333333333,
432,1291,4,0.042409339,0.034085122,911,2.333333333,
433,830,8,0.084818678,0.056808536,911,2,
434,387,8,0.084818678,0.056808536,911,1,
435,582,4,0.042409339,0.034085122,911,2,
436,587,8,0.169637357,0.056808536,911,3,
437,608,4,0.042409339,0.034085122,911,3,
438,1239,8,0.084818678,0.056808536,938,2,
439,884,4,0.042409339,0.034085122,938,2,
440,259,4,0.042409339,0.034085122,938,2,
441,270,8,0.084818678,0.056808536,938,1,
442,673,4,0.042409339,0.034085122,938,2,
443,791,8,0.084818678,0.068170244,938,3,
444,1194,8,0.084818678,0.056808536,938,2,
445,154,4,0.042409339,0.034085122,938,2.333333333,
446,926,4,0.042409339,0.034085122,938,3.142857143,
447,357,4,0.042409339,0.034085122,960,46.21935484,
448,747,8,0.084818678,0.056808536,960,126.0943396,
449,700,4,0.042409339,0.034085122,975,2.2,
450,611,8,0.084818678,0.056808536,975,1,
451,1246,4,0.042409339,0.034085122,975,2,
452,655,8,0.084818678,0.056808536,975,1,
453,195,4,0.042409339,0.034085122,975,2,
454,856,8,0.084818678,0.056808536,975,2,
455,251,4,0.042409339,0.034085122,975,2,
456,1268,8,0.084818678,0.056808536,975,3,
457,912,8,0.084818678,0.085212805,982,2,
458,1117,8,0.084818678,0.056808536,982,1,
459,1107,8,0.084818678,0.085212805,982,2,
460,854,16,0.318070044,0.113617073,982,2,
461,211,4,0.042409339,0.034085122,982,3,
462,1244,4,0.042409339,0.034085122,982,3,
463,820,4,0.042409339,0.034085122,982,3.818181818,
464,829,4,0.042409339,0.034085122,982,2,
465,253,4,0.042409339,0.034085122,982,3,
466,324,4,0.042409339,0.034085122,982,2,
467,115,8,0.084818678,0.056808536,982,3,
468,1224,8,0.084818678,0.056808536,1004,53.22945205,
469,941,4,0.042409339,0.034085122,1004,100.0594796,
470,36,4,0.042409339,0.034085122,1004,122,
471,98,16,0.318070044,0.113617073,1013,58.05405405,
472,664,8,0.084818678,0.085212805,1013,68.83629893,
473,1110,8,0.084818678,0.056808536,1013,71.33333333,
474,1155,8,0.084818678,0.056808536,1020,7,
475,1133,6,0.042409339,0.034085122,1020,9.265306122,
476,729,8,0.084818678,0.056808536,1020,37.12371134,
477,273,4,0.042409339,0.034085122,1020,6,
478,1235,4,0.042409339,0.034085122,1020,4,
479,1196,8,0.084818678,0.056808536,1020,4,
480,563,4,0.042409339,0.034085122,1020,5,
481,807,4,0.042409339,0.034085122,1020,36.78688525,
482,1110,8,0.084818678,0.056808536,1020,9.135135135,
483,795,16,0.169637357,0.113617073,1020,7.238095238,
484,783,8,0.084818678,0.056808536,1020,32.7,
485,335,8,0.084818678,0.056808536,1020,2,
486,1247,4,0.042409339,0.034085122,1020,2,
487,912,8,0.084818678,0.056808536,1020,1,
488,1252,4,0.042409339,0.034085122,1020,1,
489,189,8,0.084818678,0.056808536,1020,2,
490,928,4,0.042409339,0.034085122,1020,2.666666667,
491,1291,4,0.042409339,0.056808536,1020,5,
492,952,4,0.042409339,0.034085122,1020,3,
493,1052,8,0.084818678,0.056808536,1020,3,
494,18,16,0.318070044,0.113617073,1020,1,
495,1167,4,0.042409339,0.034085122,1020,5,
496,1109,4,0.042409339,0.034085122,1020,5.142857143,
497,605,4,0.042409339,0.034085122,1024,104.826087,
498,613,4,0.042409339,0.034085122,1024,150.8604651,
499,752,4,0.042409339,0.034085122,1029,95.13043478,
500,659,4,0.042409339,0.034085122,1029,35.18181818,
501,598,4,0.042409339,0.034085122,1029,60.5,
502,1053,8,0.084818678,0.056808536,1029,77.54545455,
503,659,8,0.084818678,0.056808536,1029,100,
504,72,16,0.318070044,0.113617073,1034,57.46232877,
505,42,4,0.042409339,0.034085122,1034,208.802974,
506,189,8,0.084818678,0.056808536,1034,284,
507,755,8,0.084818678,0.068170244,1037,59.09931507,
508,1031,4,0.042409339,0.034085122,1037,170.472119,
509,385,8,0.169637357,0.056808536,1037,312,
510,606,8,0.084818678,0.068170244,1040,55.03767123,
511,131,8,0.127228017,0.085212805,1040,98.26765799,
512,715,4,0.042409339,0.034085122,1040,126,
513,895,4,0.042409339,0.034085122,1040,23,
514,109,4,0.042409339,0.034085122,1040,1,
515,1160,8,0.084818678,0.056808536,1040,11,
516,1170,4,0.042409339,0.034085122,1040,1,
517,840,8,0.084818678,0.056808536,1040,23,
518,1209,4,0.042409339,0.034085122,1040,23,
519,36,8,0.084818678,0.056808536,1040,14,
520,824,8,0.084818678,0.056808536,1040,23,
521,1094,4,0.042409339,0.034085122,1040,23,
522,1255,4,0.042409339,0.034085122,1040,23,
523,313,4,0.042409339,0.034085122,1040,24,
524,657,8,0.169637357,0.056808536,1041,55.89041096,
526,173,8,0.169637357,0.056808536,1041,99.60966543,
527,596,8,0.084818678,0.056808536,1041,116,
528,309,8,0.084818678,0.056808536,1044,57.68493151,
529,782,4,0.042409339,0.034085122,1044,281.4572491,
530,898,8,0.084818678,0.045446829,1044,388,
531,32,4,0.042409339,0.034085122,1053,139.8489209,
532,625,4,0.042409339,0.034085122,1060,24,
533,886,4,0.042409339,0.034085122,1060,24,
534,1040,4,0.042409339,0.034085122,1063,47.68085106,
535,922,4,0.042409339,0.034085122,1064,21,
536,1277,4,0.042409339,0.034085122,1064,21,
537,787,4,0.042409339,0.034085122,1072,28.19230769,
